CONSEC_,YEAR,MONTH,DATE,SITE,_N,Replicate,WET_WT,DRY_WT,DRY_WET,ANAL_WT,C,H,N,CN_RATIO,NOTES,,,,
50,2004,5,5/7/04,AQUE,15,1,6.7,0.59,0.09,2185,27.94,3.99,2.18,12.81,,,,,
50,2004,5,5/7/04,AQUE,15,2,6.7,0.59,0.09,2285,28.04,4,2.17,12.9,,,,,
51,2004,5,5/15/04,MOHK,15,1,6.08,0.48,0.08,2280,25.85,3.51,2.39,10.8,,,,,
51,2004,5,5/15/04,MOHK,15,2,6.08,0.48,0.08,2056,25.94,3.49,2.38,10.89,,,,,
49,2004,5,5/19/04,ABUR,15,1,5.16,0.39,0.07,2417,26.74,3.72,2.81,9.5,,,,,
49,2004,5,5/19/04,ABUR,15,2,5.16,0.39,0.07,2425,27.06,3.72,2.85,9.49,,,,,
54,2004,6,6/2/04,MOHK,15,1,5.31,0.48,0.09,2486,29.74,4.3,1.68,17.73,,,,,
54,2004,6,6/2/04,MOHK,15,2,5.31,0.48,0.09,2042,30.31,4.28,1.79,16.92,,,,,
52,2004,6,6/16/04,ABUR,15,1,3.74,0.28,0.07,2429,28.14,3.82,3.07,9.16,,,,,
52,2004,6,6/16/04,ABUR,15,2,3.74,0.28,0.07,2085,28.19,3.82,3.08,9.14,,,,,
53,2004,6,6/21/04,AQUE,15,1,3.18,0.25,0.08,2376,31.62,4.15,3.46,9.13,,,,,
53,2004,6,6/21/04,AQUE,15,2,3.18,0.25,0.08,2157,30.08,3.94,3.24,9.28,,,,,
56,2004,7,7/7/04,AQUE,15,1,4.02,0.41,0.1,2504,32.74,4.69,2.27,14.44,,,,,
56,2004,7,7/7/04,AQUE,15,2,4.02,0.41,0.1,2194,32.85,4.71,2.23,14.76,,,,,
57,2004,7,7/9/04,MOHK,15,1,3.89,0.31,0.08,2078,28.34,3.8,2.72,10.43,,,,,
57,2004,7,7/9/04,MOHK,15,2,3.89,0.31,0.08,2187,25.42,3.41,2.36,10.77,,,,,
55,2004,7,7/16/04,ABUR,15,1,3.84,0.28,0.07,2558,27.47,3.81,2.22,12.37,,,,,
55,2004,7,7/16/04,ABUR,15,2,3.84,0.28,0.07,2452,28.84,3.98,2.28,12.66,,,,,
59,2004,8,8/3/04,AQUE,15,1,5.65,0.58,0.1,2482,34.23,5.16,2.82,12.14,,,,,
59,2004,8,8/3/04,AQUE,15,2,5.65,0.58,0.1,2454,34.28,5.19,2.75,12.45,,,,,
58,2004,8,8/5/04,ABUR,15,1,4.37,0.37,0.08,2221,31.91,4.62,2,15.97,,,,,
58,2004,8,8/5/04,ABUR,15,2,4.37,0.37,0.08,2497,31.94,4.66,1.99,16.08,,,,,
60,2004,8,8/6/04,MOHK,15,1,5.01,0.58,0.11,2309,30.16,4.37,2.04,14.77,,,,,
60,2004,8,8/6/04,MOHK,15,2,5.01,0.58,0.11,2120,30.43,4.33,2.16,14.06,,,,,
62,2004,9,9/1/04,AQUE,15,1,6.92,0.73,0.11,2282,30.75,4.41,2.36,13.04,,,,,
62,2004,9,9/1/04,AQUE,15,2,6.92,0.73,0.11,2332,31.12,4.44,2.28,13.64,,,,,
63,2004,9,9/2/04,MOHK,15,1,6.97,0.75,0.11,2124,30.96,4.4,2.01,15.43,,,,,
63,2004,9,9/2/04,MOHK,15,2,6.97,0.75,0.11,2555,30.98,4.44,1.99,15.6,,,,,
61,2004,9,9/7/04,ABUR,15,1,4.3,0.55,0.13,2175,31.17,4.62,1.29,24.19,,,,,
61,2004,9,9/7/04,ABUR,15,2,4.3,0.55,0.13,2386,31.17,4.64,1.41,22.17,,,,,
65,2004,10,10/6/04,AQUE,15,1,7.75,0.99,0.13,2120,30.34,4.41,1.27,23.96,,,,,
65,2004,10,10/6/04,AQUE,15,2,7.75,0.99,0.13,2352,30.41,4.43,1.28,23.83,,,,,
64,2004,10,10/7/04,ABUR,15,1,5.48,0.61,0.11,2154,28.67,3.96,1.75,16.34,,,,,
64,2004,10,10/7/04,ABUR,15,2,5.48,0.61,0.11,2519,30.28,4.24,1.93,15.69,,,,,
66,2004,10,10/14/04,MOHK,15,1,7.5,0.91,0.12,2216,31.53,4.68,1.96,16.08,,,,,
66,2004,10,10/14/04,MOHK,15,2,7.5,0.91,0.12,2028,32.21,4.7,1.97,16.37,,,,,
68,2004,11,11/3/04,AQUE,15,1,5.88,0.64,0.11,2146,29.22,4.13,1.8,16.24,,,,,
68,2004,11,11/3/04,AQUE,15,2,5.88,0.64,0.11,2571,29.12,4.15,1.8,16.14,,,,,
69,2004,11,11/4/04,MOHK,9,1,4.52,0.46,0.1,2475,28.29,3.88,2.01,14.1,,,,,
69,2004,11,11/4/04,MOHK,9,2,4.52,0.46,0.1,2322,28.13,3.8,1.81,15.59,,,,,
67,2004,11,11/10/04,ABUR,15,1,6.46,0.65,0.1,2152,29.36,4.22,1.14,25.68,,,,,
67,2004,11,11/10/04,ABUR,15,2,6.46,0.65,0.1,2440,30.27,4.4,1.24,24.41,,,,,
71,2004,12,12/1/04,AQUE,15,1,6.78,0.7,0.1,2265,27.72,3.97,1.65,16.77,,,,,
71,2004,12,12/1/04,AQUE,15,2,6.78,0.7,0.1,2415,26.96,3.85,1.61,16.73,,,,,
72,2004,12,12/2/04,MOHK,15,1,9.45,0.89,0.09,2328,27.79,4.12,1.69,16.41,,,,,
72,2004,12,12/2/04,MOHK,15,2,9.45,0.89,0.09,2480,27.31,4,1.85,14.74,,,,,
70,2004,12,12/3/04,ABUR,15,1,6.37,0.71,0.11,2135,30.17,4.62,1.73,17.43,,,,,
70,2004,12,12/3/04,ABUR,15,2,6.37,0.71,0.11,2048,30.67,4.69,1.79,17.17,,,,,
-99999,2005,1,1/1/05,ABUR,15,1,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,,,,,
-99999,2005,1,1/1/05,ABUR,15,2,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,,,,,
-99999,2005,1,1/1/05,MOHK,15,1,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,,,,,
-99999,2005,1,1/1/05,MOHK,15,2,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,,,,,
-99999,2005,1,1/1/05,AQUE,15,1,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,,,,,
-99999,2005,1,1/1/05,AQUE,15,2,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,,,,,
74,2005,2,2/7/05,MOHK,15,1,6.48,0.75,0.12,2236,29.71,4.43,2.11,14.08,,,,,
74,2005,2,2/7/05,MOHK,15,2,6.48,0.75,0.12,2365,31.29,4.75,2.11,14.84,,,,,
75,2005,2,2/8/05,ABUR,15,1,7.34,0.72,0.1,2120,22.25,3.2,1.38,16.09,,,,,
75,2005,2,2/8/05,ABUR,15,2,7.34,0.72,0.1,2285,26.89,3.93,1.72,15.64,,,,,
76,2005,2,2/9/05,AQUE,15,1,0.4,0.04,0.1,2267,25.5,3.61,2,12.75,used average of individual plants,,,,
76,2005,2,2/9/05,AQUE,15,2,0.4,0.04,0.1,2315,26.12,3.7,2.04,12.82,used average of individual plants,,,,
77,2005,3,3/14/05,AQUE,15,1,7.7,0.67,0.09,2200,26.15,3.32,2.01,13.01,,,,,
77,2005,3,3/14/05,AQUE,15,2,7.7,0.67,0.09,2399,26.03,3.47,2.03,12.85,,,,,
78,2005,3,3/16/05,MOHK,15,1,5.07,0.53,0.1,2014,25.96,3.42,1.63,15.89,,,,,
78,2005,3,3/16/05,MOHK,15,2,5.07,0.53,0.1,2495,26.18,3.47,1.74,15.07,,,,,
79,2005,3,3/17/05,ABUR,15,1,5.7,0.64,0.11,2230,28.42,3.97,1.61,17.69,,,,,
79,2005,3,3/17/05,ABUR,15,2,5.7,0.64,0.11,2173,29,4.07,1.61,18.02,,,,,
80,2005,4,4/18/05,MOHK,15,1,5.84,0.56,0.1,2209,25.74,3.44,2.95,8.74,,,,,
80,2005,4,4/18/05,MOHK,15,2,5.84,0.56,0.1,2129,26.14,3.45,2.95,8.87,,,,,
81,2005,4,4/19/05,AQUE,15,1,7.91,0.8,0.1,2447,27.4,3.81,3.39,8.09,,,,,
81,2005,4,4/19/05,AQUE,15,2,7.91,0.8,0.1,2231,28.66,4,3.43,8.36,,,,,
82,2005,4,4/20/05,ABUR,15,1,6.78,0.81,0.12,2142,30.74,4.6,2.76,11.14,,,,,
82,2005,4,4/20/05,ABUR,15,2,6.78,0.81,0.12,2216,31.06,4.73,2.79,11.14,,,,,
83,2005,5,5/9/05,MOHK,15,1,6.91,0.82,0.12,2302,28.7,4.08,3.41,8.41,,,,,
83,2005,5,5/9/05,MOHK,15,2,6.91,0.82,0.12,2179,29.65,4.17,3.38,8.77,,,,,
84,2005,5,5/10/05,ABUR,15,1,5.27,0.58,0.11,2245,28.05,3.93,3.5,8.02,,,,,
84,2005,5,5/10/05,ABUR,15,2,5.27,0.58,0.11,2406,28.95,4.09,3.47,8.34,,,,,
85,2005,5,5/12/05,AQUE,15,1,6.11,0.64,0.1,2276,28.59,3.97,3.44,8.3,,,,,
85,2005,5,5/12/05,AQUE,15,2,6.11,0.64,0.1,2278,27.79,3.87,3.39,8.19,,,,,
86,2005,6,6/6/05,MOHK,15,1,8.53,0.92,0.11,2083,27.94,3.87,2.8,9.98,,,,,
86,2005,6,6/6/05,MOHK,15,2,8.53,0.92,0.11,2232,27.9,3.88,2.79,9.99,,,,,
89,2005,6,6/8/05,AQUE,15,1,7.77,0.8,0.1,2319,28.34,3.97,3.75,7.56,,,,,
89,2005,6,6/8/05,AQUE,15,2,7.77,0.8,0.1,2125,28.38,3.98,3.68,7.71,,,,,
90,2005,6,6/9/05,ABUR,15,1,6.94,0.64,0.09,2227,26.88,3.64,3.44,7.82,,,,,
90,2005,6,6/9/05,ABUR,15,2,6.94,0.64,0.09,2086,26.99,3.66,3.45,7.83,,,,,
91,2005,7,7/1/05,MOHK,15,1,9.16,0.86,0.09,2287,29.16,3.99,2.61,11.18,,,,,
91,2005,7,7/1/05,MOHK,15,2,9.16,0.86,0.09,2350,28.19,3.86,2.51,11.25,,,,,
92,2005,7,7/5/05,ABUR,15,1,8.43,0.72,0.09,2060,26.82,3.61,2.91,9.23,,,,,
92,2005,7,7/5/05,ABUR,15,2,8.43,0.72,0.09,2299,27.04,3.66,2.91,9.28,,,,,
93,2005,7,7/6/05,AQUE,15,1,8.04,0.82,0.1,2235,27.79,3.82,3.23,8.61,,,,,
